charge_id,student_id,product_id,order_no,paid_price,paid_at,charge_start,charge_end,student_product_id,sp_start,sp_end,sp_order_no,ticket_id,ticket_start,ticket_end,ticket_type
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101086,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101085,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101092,"2026-4-2, 01:00","2026-5-2, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126430,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126435,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126434,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126433,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126432,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126431,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126429,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126427,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126426,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126425,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126424,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126423,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126422,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126421,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028086,67915,29,,14107,"2026-4-3, 03:40",2026-4-3,2026-5-2,2987938,2026-4-3,2026-5-2,,70126428,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127586,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127585,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127584,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127583,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127582,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127581,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127580,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127579,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127578,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127577,"2026-4-3, 01:00","2026-5-3, 00:59",3
3028147,62241,29,,14107,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987998,2026-4-3,2026-5-2,,70127576,"2026-4-3, 01:00","2026-5-3, 00:59",3
