生徒ID,請求情報ID,支払日時,支払金額,合計,差引,08月売上,09月売上,10月売上,11月売上,12月売上,01月売上
S00000007178,2754480,"2025-09-06 03:15:57",13365,0,13365,0,0,0,0,0,0
S00000007178,2754481,"2025-09-06 03:15:57",0,0,0,0,0,0,0,0,0
S00000007185,2776825,"2025-09-24 03:15:57",11880,0,11880,0,0,0,0,0,0
S00000007186,2771851,"2025-09-20 03:30:09",13365,0,13365,0,0,0,0,0,0
S00000007186,2771852,"2025-09-20 03:30:09",0,0,0,0,0,0,0,0,0
S00000007370,2790636,"2025-09-30 03:37:13",17820,0,17820,0,0,0,0,0,0
S00000007376,2757725,"2025-09-09 03:33:06",12622,0,12622,0,0,0,0,0,0
S00000007376,2757726,"2025-09-09 03:33:06",0,0,0,0,0,0,0,0,0
S00000007498,2761914,"2025-09-14 03:21:16",11880,0,11880,0,0,0,0,0,0
S00000007537,2760332,"2025-09-12 03:17:50",11880,0,11880,0,0,0,0,0,0
S00000007602,2751335,"2025-09-03 03:17:56",11880,0,11880,0,0,0,0,0,0
S00000007641,2772868,"2025-09-22 03:16:52",11880,0,11880,0,0,0,0,0,0
S00000007678,2761321,"2025-09-13 03:28:47",12622,0,12622,0,0,0,0,0,0
S00000007678,2761322,"2025-09-13 03:28:47",0,0,0,0,0,0,0,0,0
S00000007678,2780513,"2025-09-25 03:29:18",19800,0,19800,0,0,0,0,0,0
S00000007728,2763523,"2025-09-16 03:28:49",17820,0,17820,0,0,0,0,0,0
S00000007811,2763329,"2025-09-16 03:20:14",11880,0,11880,0,0,0,0,0,0
S00000007821,2763102,"2025-09-15 14:26:21",0,0,0,0,0,0,0,0,0
S00000007821,2763103,"2025-09-15 14:26:21",7425,0,7425,0,0,0,0,0,0
S00000007907,2762617,"2025-09-15 03:21:20",11880,0,11880,0,0,0,0,0,0
S00000007908,2788034,"2025-09-28 03:18:24",11880,0,11880,0,0,0,0,0,0
S00000008095,2759369,"2025-09-11 03:17:05",11880,0,11880,0,0,0,0,0,0
S00000008246,2757351,"2025-09-09 03:17:42",11880,0,11880,0,0,0,0,0,0
S00000008301,2783761,"2025-09-26 06:45:59",0,0,0,0,0,0,0,0,0
S00000008301,2783762,"2025-09-26 06:45:59",20377,0,20377,0,0,0,0,0,0
S00000008462,2763471,"2025-09-16 03:27:05",13365,0,13365,0,0,0,0,0,0
S00000008462,2763472,"2025-09-16 03:27:05",0,0,0,0,0,0,0,0,0
S00000008492,2747809,"2025-09-01 03:32:39",11880,0,11880,0,0,0,0,0,0
S00000008504,2751767,"2025-09-03 03:35:53",11880,0,11880,0,0,0,0,0,0
S00000008639,2758414,"2025-09-10 03:17:17",11880,0,11880,0,0,0,0,0,0
S00000008649,2755255,"2025-09-06 03:46:14",14850,0,14850,0,0,0,0,0,0
S00000008649,2755256,"2025-09-06 03:46:14",0,0,0,0,0,0,0,0,0
S00000008649,2755257,"2025-09-06 03:46:17",19800,0,19800,0,0,0,0,0,0
S00000008691,2756914,"2025-09-08 10:55:16",0,0,0,0,0,0,0,0,0
S00000008691,2756915,"2025-09-08 10:55:16",7425,0,7425,0,0,0,0,0,0
S00000008695,2761843,"2025-09-14 03:17:14",990,0,990,0,0,0,0,0,0
S00000008695,2763328,"2025-09-16 03:20:12",11880,0,11880,0,0,0,0,0,0
S00000008760,2754582,"2025-09-06 03:21:16",11880,0,11880,0,0,0,0,0,0
S00000008760,2754583,"2025-09-06 03:21:19",990,0,990,0,0,0,0,0,0
S00000008772,2772210,"2025-09-21 03:18:02",11880,0,11880,0,0,0,0,0,0
S00000008785,2783553,"2025-09-26 03:28:34",11880,0,11880,0,0,0,0,0,0
S00000008835,2750399,"2025-09-02 03:36:03",11880,0,11880,0,0,0,0,0,0
S00000009019,2751859,"2025-09-03 03:38:55",11880,0,11880,0,0,0,0,0,0
S00000009087,2790622,"2025-09-30 03:36:31",11880,0,11880,0,0,0,0,0,0
S00000009097,2750773,"2025-09-02 03:48:28",14107,0,14107,0,0,0,0,0,0
S00000009097,2750774,"2025-09-02 03:48:28",0,0,0,0,0,0,0,0,0
S00000009153,2752767,"2025-09-04 03:33:41",13365,0,13365,0,0,0,0,0,0
S00000009153,2752768,"2025-09-04 03:33:41",0,0,0,0,0,0,0,0,0
S00000009167,2772269,"2025-09-21 03:21:24",11880,0,11880,0,0,0,0,0,0
S00000009175,2748420,"2025-09-01 04:00:44",13365,0,13365,0,0,0,0,0,0
S00000009175,2748421,"2025-09-01 04:00:44",0,0,0,0,0,0,0,0,0
S00000009193,2758752,"2025-09-10 03:32:24",14107,0,14107,0,0,0,0,0,0
S00000009193,2758753,"2025-09-10 03:32:25",0,0,0,0,0,0,0,0,0
S00000009359,2790347,"2025-09-30 03:27:15",12622,0,12622,0,0,0,0,0,0
S00000009359,2790348,"2025-09-30 03:27:16",0,0,0,0,0,0,0,0,0
S00000009465,2751734,"2025-09-03 03:34:46",13365,0,13365,0,0,0,0,0,0
S00000009465,2751735,"2025-09-03 03:34:46",0,0,0,0,0,0,0,0,0
S00000009665,2776273,"2025-09-23 03:17:34",28215,0,28215,0,0,0,0,0,0
S00000009665,2776274,"2025-09-23 03:17:34",0,0,0,0,0,0,0,0,0
S00000009830,2787566,"2025-09-27 03:25:14",13365,0,13365,0,0,0,0,0,0
S00000009830,2787567,"2025-09-27 03:25:15",0,0,0,0,0,0,0,0,0
S00000009914,2761822,"2025-09-14 03:16:15",13365,0,13365,0,0,0,0,0,0
S00000009914,2761823,"2025-09-14 03:16:16",0,0,0,0,0,0,0,0,0
S00000009940,2776873,"2025-09-24 03:18:24",11880,0,11880,0,0,0,0,0,0
S00000009956,2761924,"2025-09-14 03:21:50",11880,0,11880,0,0,0,0,0,0
S00000010046,2766056,"2025-09-17 03:28:05",14107,0,14107,0,0,0,0,0,0
